scientific,family,PC1,nplants,nbirds,envidist,database
Aceros undulatus,Bucerotidae,-0.846293419,43,45,3.457470875221158,dat_pakke_weight_network_bird_disp
Aceros undulatus,Bucerotidae,-0.285375979,12,22,3.441213551955776,PigotEtAl'16-Database S1_KITA
Aceros undulatus,Bucerotidae,-2.183367809,6,28,3.3355682484973936,PigotEtAl'16-Database S1_VELHO
Aceros undulatus,Bucerotidae,-0.75913014,6,22,3.341825165825203,PigotEtAl'16-Database S1_VELHO2
Aceros undulatus,Bucerotidae,-0.285375979,15,22,3.441213551955776,KITA mammals added
Aceros undulatus,Bucerotidae,-1.111134839,6,26,3.378048188326457,Sethi 2012
Acridotheres tristis,Sturnidae,0.759882088,43,45,3.207399395982192,dat_pakke_weight_network_bird_disp
Acridotheres tristis,Sturnidae,-1.529801768,64,16,2.394217471790179,Balasubramanian 1996
Acridotheres tristis,Sturnidae,0.371779763,24,19,5.614215790556819,Kamruzzaman 2008
Acridotheres tristis,Sturnidae,-1.303138024,6,24,3.242231818147076,Palita 2011
Acridotheres tristis,Sturnidae,1.16849833,6,26,3.058104409849577,Sethi 2012
Alophoixus pallidus,Pycnonotidae,3.29511063,17,40,0.6563080515591523,SankamethaweeEtAl'11
Alophoixus pallidus,Pycnonotidae,1.507113357,12,22,0.4025756371311247,PigotEtAl'16-Database S1_KITA
Alophoixus pallidus,Pycnonotidae,1.507113357,15,22,0.4025756371311247,KITA mammals added
Alophoixus pallidus,Pycnonotidae,-0.675545836,9,16,0.39196951095870675,Sanitjan 2009 XTBG arboretum
Alophoixus pallidus,Pycnonotidae,-2.479123657,5,16,0.39196951095870675,Sanitjan 2009 XTBG forest
Alophoixus pallidus,Pycnonotidae,-2.204993392,3,10,0.39196951095870675,Sanitjan 2009 Limestone forest
Alophoixus pallidus,Pycnonotidae,-2.564294697,7,21,0.39196951095870675,Sanitjan 2009 ML primary forest
Andigena hypoglauca,Ramphastidae,-1.216932166,21,53,0.4089044409697902,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM
Andigena hypoglauca,Ramphastidae,-0.470663009,19,20,2.012670274150909,Dehling 2017 Wayqecha 1
Andigena hypoglauca,Ramphastidae,-2.81942365,22,17,2.012670274150909,Dehling 2017 Wayqecha 2
Andigena hypoglauca,Ramphastidae,-2.180462203,21,16,2.012670274150909,Dehling 2017 Wayqecha 3
Andigena hypoglauca,Ramphastidae,-1.196153202,18,19,2.012670274150909,Dehling 2017 Wayqecha 4
Anisognathus somptuosus,Thraupidae,1.537122863,60,72,0.6098712397829681,btp12290-sup-0001-appendixs1
Anisognathus somptuosus,Thraupidae,-0.043942941,19,15,1.7450515002731737,InteractionNetwork_2000Fragmented
Anisognathus somptuosus,Thraupidae,-2.480920903,12,15,1.7450515002731737,InteractionNetwork_2000Natural
Anisognathus somptuosus,Thraupidae,-0.457471421,13,31,0.5064460399888345,Kessler- Rios 2011
Anisognathus somptuosus,Thraupidae,2.443583388,21,53,1.1480541155382555,MunozEtAl'17-bikf.10042.1-InteractionsData_after_GMM
Anisognathus somptuosus,Thraupidae,-3.283565499,20,21,1.0976941685354074,Messeder_et_al._2020_-_Interaction_dataset_NW 015 F
Anisognathus somptuosus,Thraupidae,3.355103894,40,42,2.0656400113786693,Vizentin-Bugoni_etal_Science_2019_HarvardDataverse_SAAV14
Anisognathus somptuosus,Thraupidae,-1.081405249,22,51,1.6039769538176214,Dehling 2017 San Pedro 1
Anisognathus somptuosus,Thraupidae,-0.155379546,17,45,1.6039769538176214,Dehling 2017 San Pedro 2
Anisognathus somptuosus,Thraupidae,-1.4302813110000001,19,35,1.6039769538176214,Dehling 2017 San Pedro 3
Anisognathus somptuosus,Thraupidae,-0.672421492,12,31,0.5064460399888345,Kessler-Rios 2012
Anthornis melanura,Meliphagidae,-0.007028681,7,5,0.7335636478551595,Garcia 2014 Hinau
Anthornis melanura,Meliphagidae,1.794884944,14,6,0.7335636478551595,MacFarlane 2016
Anthornis melanura,Meliphagidae,2.841083903,28,14,6.055985636328518,Odonnell 1994
Anthornis melanura,Meliphagidae,-0.627187554,21,6,0.5475993868121922,Williams 1996 Marsden
Anthornis melanura,Meliphagidae,-0.863356526,9,4,0.5626435421204593,Williams 1996 Faulkners
