Scientific,PC1,long,lat
Aceros undulatus,-0.846293419,92.366667,26.9
Aceros undulatus,-0.285375979,101.416667,14.166667
Aceros undulatus,-2.183367809,92.775,27.30833
Aceros undulatus,-0.75913014,92.55,27.01667
Aceros undulatus,-0.285375979,101.4583,14.16667
Aceros undulatus,-1.111134839,92.83,27.1
Acridotheres tristis,0.759882088,92.366667,26.9
Acridotheres tristis,-1.529801768,79.85,10.3
Acridotheres tristis,0.371779763,91.78878,22.47226
Acridotheres tristis,-1.303138024,79.6,29.63333333
Acridotheres tristis,1.16849833,92.83,27.1
Alophoixus pallidus,3.29511063,101.366667,14.433333
Alophoixus pallidus,1.507113357,101.416667,14.166667
Alophoixus pallidus,1.507113357,101.4583,14.16667
Alophoixus pallidus,-0.675545836,101.2555556,21.925
Alophoixus pallidus,-2.479123657,101.2722222,21.91666667
Alophoixus pallidus,-2.204993392,101.2916667,21.90416667
Alophoixus pallidus,-2.564294697,101.1694444,21.96388889
Andigena hypoglauca,-1.216932166,-75.416667,4.733333
Andigena hypoglauca,-0.470663009,-71.5839,-13.1681
Andigena hypoglauca,-2.81942365,-71.5839,-13.1681
Andigena hypoglauca,-2.180462203,-71.5839,-13.1681
Andigena hypoglauca,-1.196153202,-71.5839,-13.1681
Anisognathus somptuosus,1.537122863,-76.639117,3.776116
Anisognathus somptuosus,-0.043942941,-79.204371,-4.088486
Anisognathus somptuosus,-2.480920903,-79.204371,-4.088486
Anisognathus somptuosus,-0.457471421,-75.5666,4.71666667
Anisognathus somptuosus,2.443583388,-75.416667,4.733333
Anisognathus somptuosus,-3.283565499,-63.516667,-16.4
Anisognathus somptuosus,3.355103894,-67.526967,-16.410331
Anisognathus somptuosus,-1.081405249,-71.5356,-13.0506
Anisognathus somptuosus,-0.155379546,-71.5356,-13.0506
Anisognathus somptuosus,-1.4302813110000001,-71.5356,-13.0506
Anisognathus somptuosus,-0.672421492,-75.5666,4.71666667
Anthornis melanura,-0.007028681,173.566666,-42.3483333
Anthornis melanura,1.794884944,173.616,-42.377
Anthornis melanura,2.841083903,169.4,-43.75
Anthornis melanura,-0.627187554,173.266,-41.312
Anthornis melanura,-0.863356526,173.039,-41.413
Anthornis melanura,-0.795440428,173.6,-42.38333333
Anthracoceros albirostris,-0.95565502,92.366667,26.9
Anthracoceros albirostris,-1.935436695,102.283333,3.716667
Anthracoceros albirostris,0.642487034,101.366667,14.433333
Anthracoceros albirostris,2.462984085,101.416667,14.166667
Anthracoceros albirostris,-2.336498951,92.775,27.30833
Anthracoceros albirostris,2.998961752,92.55,27.01667
Anthracoceros albirostris,2.462984085,101.4583,14.16667
Anthracoceros albirostris,-3.520849456,92.83,27.1
Atlapetes citrinellus,0.522033266,-46.733333,-22.95
Atlapetes citrinellus,0.671843648,-65.625,-27.22666667
Atlapetes citrinellus,-1.868459979,-65.88833333,-27.25
Atlapetes citrinellus,-2.910361199,-65.77333333,-27.03
Atlapetes citrinellus,-2.151050197,-64.69333333,-24.75666667
Atlapetes citrinellus,0.828803608,-64.44833333,-24.09833333
Arremon flavirostris,1.372473417,-47.933333,-15.95
Arremon flavirostris,-0.529510512,-46.733333,-22.95
Arremon flavirostris,-1.84855626,-47.796533,-23.916667
Arremon flavirostris,-1.662181525,-47.796533,-23.916667
Arremon flavirostris,-1.012087449,-65.33844,-26.78572
Arremon flavirostris,-1.057845361,-65.625,-27.22666667
Arremon flavirostris,-1.216197576,-65.55,-26.6
Arremon flavirostris,-0.713700131,-64.67166667,-24.73
Antilophia galeata,-1.495997435,-47.204638,-22.671644
Antilophia galeata,-1.653336106,-51.266667,-12.866667
Antilophia galeata,-3.277698295,-47.933333,-15.95
Antilophia galeata,-1.9938813,-47.5,-22.566667
Antilophia galeata,-1.038451316,-48.383333,-19.166667
Antilophia galeata,-2.9322041,-47.816667,-18.833333
Aulacorhynchus prasinus,2.589436236,-76.639117,3.776116
Aulacorhynchus prasinus,6.132333937,-84.8,10.3
Aulacorhynchus prasinus,2.625513314,-75.416667,4.733333
Aulacorhynchus prasinus,-1.310990191,-83.74166667,9.594444444
Bombycilla cedrorum,1.394536568,-74.666728,40.331926
Bombycilla cedrorum,3.484858217,-79.271797,40.160169
Bombycilla cedrorum,4.335460895,-119.62216,37.724058
Bombycilla cedrorum,-0.102502956,-56.233333,-19.566667
Bombycilla cedrorum,-0.508636765,-47.416667,-22.816667
Bombycilla cedrorum,-0.445242631,-96.38027778,19.6
Bombycilla cedrorum,-0.301786956,-82.5,29.75
Baryphthengus ruficapillus,-3.834271026,-47.528614,-23.952088
Baryphthengus ruficapillus,0.328124973,-47.933333,-15.95
Baryphthengus ruficapillus,-0.982237348,-96.366667,19.6
Baryphthengus ruficapillus,-1.257373949,-47.796533,-23.916667
Baryphthengus ruficapillus,-1.614177872,-47.796533,-23.916667
Buceros bicornis,-0.672143076,92.366667,26.9
Buceros bicornis,-0.285375979,101.416667,14.166667
Buceros bicornis,-0.149148445,92.775,27.30833
Buceros bicornis,-0.285375979,101.4583,14.16667
Buceros bicornis,-3.520849456,92.83,27.1
Bycanistes bucinator,0.39516031,33.828611,-10.60453
Bycanistes bucinator,-1.13496534,30.5944444,-30.26666
Bycanistes bucinator,-0.070755022,30.5944444,-30.26666
Bycanistes bucinator,0.858081036,30.5944444,-30.26666
Bycanistes bucinator,-0.141929118,30.5944444,-30.26666
Bycanistes bucinator,0.950583086,30.5944444,-30.26666
Bycanistes bucinator,-0.998595968,30.5944444,-30.26666
Bycanistes bucinator,-1.205236315,30.5944444,-30.26666
Cacicus chrysopterus,0.294673238,-47.528614,-23.952088
Cacicus chrysopterus,-1.766521709,-51.166857,-28.223141
Cacicus chrysopterus,-1.970839769,-47.796533,-23.916667
Cacicus chrysopterus,-1.941565967,-47.796533,-23.916667
Cacicus chrysopterus,0.151394384,-53.58555,-29.6425
Cacicus chrysopterus,-0.685709108,-64.44833333,-24.09833333
Cacicus haemorrhous,0.718878235,-48.283333,-25.166667
Cacicus haemorrhous,2.264237274,-42.277658,-22.53629
Cacicus haemorrhous,1.864959559,-96.366667,19.6
Cacicus haemorrhous,1.459008585,-47.796533,-23.916667
Cacicus haemorrhous,-2.282396545,-47.796533,-23.916667
Cacicus haemorrhous,0.642663179,-47.796533,-23.916667
Cacicus haemorrhous,-3.270446158,-40.033333,-19.76666
Cacicus haemorrhous,0.076899264,-53.58555,-29.6425
Camptostoma obsoletum,-2.614698095,-77.035261,-6.0294
Camptostoma obsoletum,-0.387019791,-47.610207,-22.708708
Camptostoma obsoletum,1.440425382,-47.528614,-23.952088
Camptostoma obsoletum,-0.780489467,-47.540472,-22.394068999999998
Camptostoma obsoletum,-0.399623078,-51.266667,-12.866667
Camptostoma obsoletum,-0.63882855,-43.55,-19.25
Camptostoma obsoletum,-2.061867754,-70.166667,2.666667
Camptostoma obsoletum,0.547626705,-40.033333,-19.76666
Catharus minimus,-0.39831415,-79.72,9.13
Catharus minimus,0.257756887,-79.72,9.13
Catharus minimus,-2.47602298,-76.666667,7.766667
Catharus minimus,0.742942823,-84.016667,10.416667
Catharus minimus,-0.39831415,130.5,30.333333
Catharus minimus,0.257756887,130.5,30.333333
Catharus minimus,0.257756887,-79.844279,9.153246
Catharus minimus,2.301026516,-88.24333,40.11639
Catharus minimus,0.197893303,-88.24333,40.11639
Catharus minimus,0.494415011,-82.5,29.75
Catharus minimus,-1.911628679,-83.51861111,10.56416667
Catharus guttatus,-0.800565137,-74.666728,40.331926
Catharus guttatus,2.127515184,-119.62216,37.724058
Catharus guttatus,-1.818343431,-88.24333,40.11639
Catharus guttatus,-0.198191794,-88.24333,40.11639
Catharus guttatus,-3.232510755,-82.5,29.75
Catharus fuscescens,-1.50621559,-79.72,9.13
Catharus fuscescens,-0.470253967,-79.72,9.13
Catharus fuscescens,-1.381690941,-79.271797,40.160169
Catharus fuscescens,-0.804213194,-84.016667,10.416667
Catharus fuscescens,0.146367951,-47.933333,-15.95
Catharus fuscescens,-1.50621559,130.5,30.333333
Catharus fuscescens,-0.470253967,130.5,30.333333
Catharus fuscescens,-0.470253967,-79.844279,9.153246
Catharus fuscescens,-0.897543974,-88.24333,40.11639
Catharus fuscescens,-0.617175751,-82.5,29.75
Catharus fuscescens,-1.286801278,-83.51861111,10.56416667
Catharus ustulatus,-0.3344969,-76.639117,3.776116
Catharus ustulatus,-0.28949568,-79.204371,-4.088486
