Scientific
Aceros undulatus
Acridotheres tristis
Alophoixus pallidus
Andigena hypoglauca
Anisognathus somptuosus
Anthornis melanura
Anthracoceros albirostris
Atlapetes citrinellus
Arremon flavirostris
Antilophia galeata
Aulacorhynchus prasinus
Bombycilla cedrorum
Baryphthengus ruficapillus
Buceros bicornis
Bycanistes bucinator
Cacicus chrysopterus
Cacicus haemorrhous
Camptostoma obsoletum
Catharus minimus
Catharus guttatus
Catharus fuscescens
Catharus ustulatus
Celeus flavescens
Chlorochrysa calliparaea
Chiroxiphia pareola
Chiroxiphia caudata
Chlorophanes spiza
Chlorophonia cyanea
Chlorospingus canigularis
Chlorornis riefferii
Chloropsis aurifrons
Chlorospingus ophthalmicus
Coccothraustes coccothraustes
Cinnyricinclus leucogaster
Coereba flaveola
Colaptes auratus
Colaptes rubiginosus
Colius striatus
Conirostrum speciosum
Corvus corone
Coryphospingus cucullatus
Corythaeola cristata
Cyanocorax chrysops
Cyanerpes cyaneus
Cyanerpes caeruleus
Cyanocorax cristatellus
Cyanocorax yncas
Cyclarhis gujanensis
Dacnis cayana
Dendrocopos major
Dicaeum chrysorrheum
Dicaeum concolor
Diglossa cyanea
Ducula badia
Dumetella carolinensis
Elaenia albiceps
Elaenia chiriquensis
Elaenia flavogaster
Elaenia mesoleuca
Elaenia obscura
Elaenia parvirostris
Empidonax virescens
Empidonomus varius
Eubucco versicolor
Eubucco bourcierii
Erithacus rubecula
Eucometis penicillata
Eudynamys scolopaceus
Euphonia chlorotica
Euphonia cyanocephala
Euphonia laniirostris
Euphonia pectoralis
Euphonia violacea
Euphonia xanthogaster
Ficedula hypoleuca
Garrulus glandarius
Fringilla coelebs
Gnorimopsar chopi
Gracula religiosa
Habia rubica
Hemiphaga novaeseelandiae
Hemithraupis ruficapilla
Hemixos flavala
Hylocichla mustelina
Hypsipetes leucocephalus
Icterus cayanensis
Icterus pyrrhopterus
Icterus galbula
Ilicura militaris
Iole propinqua
Iridosornis analis
Irena puella
Legatus leucophaius
Loxia curvirostra
Leptotila verreauxi
Lepidothrix coronata
Loxigilla portoricensis
Machaeropterus regulus
Manacus manacus
Manacus vitellinus
Megalaima asiatica
Megalaima australis
Megalaima haemacephala
Megarynchus pitangua
Megalaima virens
Megalaima lineata
Melanerpes aurifrons
Mimus polyglottos
Mionectes rufiventris
Mionectes oleagineus
Mimus saturninus
Mionectes striaticollis
Molothrus bonariensis
Momotus momota
Myadestes ralloides
Myiarchus crinitus
Myiarchus ferox
Myiarchus swainsoni
Myiarchus tyrannulus
Myiarchus tuberculifer
Myiodynastes luteiventris
Myiodynastes maculatus
Myiophobus fasciatus
Myiozetetes similis
Nemosia pileata
Oriolus chinensis
Oriolus oriolus
Orthogonys chloricterus
Oxyruncus cristatus
Pachyramphus polychopterus
Parula pitiayumi
Parotia lawesii
Pachyramphus validus
Parus ater
Parus caeruleus
Parus palustris
Parus montanus
Parus major
Patagioenas cayennensis
Patagioenas fasciata
Patagioenas flavirostris
Patagioenas picazuro
Penelope montagnii
Patagioenas plumbea
Patagioenas squamosa
Penelope obscura
Penelope superciliaris
Pheucticus aureoventris
Phoenicurus phoenicurus
Pheucticus ludovicianus
Phyllastrephus hypochloris
Phylloscopus budongoensis
Phylloscopus trochilus
Piaya cayana
Pica pica
Pipra pipra
Pipra rubrocapilla
Pipraeidea melanonota
Piranga flava
Piranga olivacea
Pitangus sulphuratus
Piranga rubra
Ploceus capensis
Prosthemadera novaeseelandiae
Procnias nudicollis
Psarocolius angustifrons
Psarocolius atrovirens
Psarocolius decumanus
Pycnonotus barbatus
Pteroglossus bailloni
Pycnonotus cafer
Pycnonotus jocosus
Pyroderus scutatus
Ramphastos dicolorus
Ramphocelus carbo
Ramphastos toco
Rupicola peruvianus
Saltator coerulescens
Saltator maximus
Schiffornis virescens
Saltator similis
Schistochlamys ruficapillus
Sitta europaea
Stigmatopelia chinensis
Stephanophorus diadematus
Spindalis portoricensis
Sturnus malabaricus
Sylvia borin
Sylvia atricapilla
Sturnus vulgaris
Sylvia communis
Sylvia undata
Tachyphonus coronatus
Tachyphonus rufus
Tachyphonus luctuosus
Tachyphonus cristatus
Tangara arthus
Tangara cayana
Tangara cyanicollis
Tangara chilensis
Tangara gyrola
Tangara labradorides
Tangara nigroviridis
Tangara xanthocephala
Tangara vassorii
Tersina viridis
Thraupis cyanocephala
Thraupis bonariensis
Thlypopsis sordida
Thraupis episcopus
Thraupis palmarum
Thraupis sayaca
Tityra cayana
Tityra inquisitor
Tityra semifasciata
Tockus alboterminatus
Tolmomyias sulphurescens
Treron calvus
Trichothraupis melanops
Treron curvirostra
Trogon curucui
Trogon rufus
Trogon surrucura
Turdus albicollis
Turdus amaurochalinus
Turdus flavipes
Turdus fuscater
Turdus leucomelas
Turdus merula
Turdus nigriceps
Turdus migratorius
Turdus philomelos
Turdus serranus
Turdus rufiventris
Tyrannus melancholicus
Tyrannus savana
Tyrannus tyrannus
Vireo griseus
Vireo olivaceus
Zonotrichia capensis
Zosterops japonicus
Zosterops palpebrosus
Zosterops pallidus
Zosterops senegalensis
